                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3906,                 3.6073,                 1.6073,                0.26971,                0.33873,                0.21995,                0.09663,                0.82679,                 106.64,                  1.001,              0.0033237,              0.0033237,              0.0033237
                      2,                 1.4882,                 2.4866,                 1.6539,                0.38847,                 0.3947,                0.35214,                0.13846,                0.92774,                 35.377,                 1.0843,              0.0065747,              0.0065747,              0.0065747
                      3,                 1.6613,                 2.3438,                 1.8275,                0.19504,                0.15758,                0.09136,                0.03265,                 1.1887,                 63.265,                 1.4149,              0.0097431,              0.0097431,              0.0097431
                      4,                 1.8089,                 2.5497,                 1.9842,                0.24828,                0.23859,                 0.1469,                0.05343,                 1.0451,                  32.42,                 1.3434,              0.0096288,              0.0096288,              0.0096288
                      5,                 1.7333,                 2.4044,                 1.9367,                0.28189,                0.31161,                 0.2147,                0.07855,                0.97832,                 10.508,                 1.2652,               0.009505,               0.009505,               0.009505
                      6,                 1.6669,                 2.2514,                 1.8751,                0.37285,                0.42028,                0.34319,                0.15043,                0.93172,                 27.858,                 1.1031,              0.0093813,              0.0093813,              0.0093813
                      7,                 1.6092,                 2.1376,                 1.8205,                0.41588,                0.47128,                0.40528,                0.17388,                0.85569,                 27.004,                 1.0252,              0.0092575,              0.0092575,              0.0092575
                      8,                 1.5845,                 2.0749,                 1.7933,                0.46523,                0.42857,                0.41986,                0.20423,                0.80706,                 2.3831,                0.97883,              0.0091337,              0.0091337,              0.0091337
                      9,                 1.5359,                 1.9581,                 1.7555,                0.50889,                0.49779,                0.47041,                0.22284,                 0.8535,                 4.0284,                 1.0301,                0.00901,                0.00901,                0.00901
                     10,                 1.5095,                 1.9191,                  1.743,                0.56289,                0.51694,                0.53086,                0.24482,                0.84549,                   4.43,                 1.0117,              0.0088863,              0.0088863,              0.0088863
                     11,                 1.4827,                 1.8537,                 1.7041,                0.52028,                0.48012,                0.46046,                0.22185,                0.79895,                 4.9262,                0.98852,              0.0087625,              0.0087625,              0.0087625
                     12,                 1.4627,                 1.8055,                 1.6869,                0.54026,                0.50221,                0.52318,                0.26475,                0.76319,                 2.5205,                0.93187,              0.0086388,              0.0086388,              0.0086388
                     13,                 1.4358,                 1.7711,                 1.6747,                0.48825,                0.41973,                0.40041,                 0.1991,                0.79888,                 1.8861,                0.96205,               0.008515,               0.008515,               0.008515
                     14,                 1.4275,                 1.7321,                 1.6699,                0.59063,                0.51399,                0.52485,                0.25748,                0.79991,                 1.8921,                0.97666,              0.0083913,              0.0083913,              0.0083913
                     15,                 1.3939,                 1.6764,                 1.6358,                0.53339,                0.51252,                 0.4917,                 0.2569,                0.78292,                 5.5222,                0.95051,              0.0082675,              0.0082675,              0.0082675
                     16,                 1.4034,                 1.6696,                 1.6351,                0.68609,                0.55376,                0.61544,                0.30858,                0.78013,                 4.3614,                0.93505,              0.0081437,              0.0081437,              0.0081437
                     17,                  1.382,                  1.633,                 1.6177,                0.63824,                0.55864,                0.61543,                0.33547,                0.76817,                 2.7843,                0.92521,                0.00802,                0.00802,                0.00802
                     18,                 1.3921,                 1.6189,                  1.624,                0.68871,                0.58977,                0.65882,                0.34518,                0.75353,                 3.3558,                0.90874,              0.0078963,              0.0078963,              0.0078963
                     19,                 1.3683,                 1.5831,                 1.6088,                0.66546,                0.61267,                 0.6629,                0.33078,                0.76521,                 2.4585,                0.92617,              0.0077725,              0.0077725,              0.0077725
                     20,                 1.3576,                 1.5623,                 1.6077,                 0.6706,                0.56701,                0.63555,                0.35409,                0.71606,                  1.506,                 0.8672,              0.0076488,              0.0076488,              0.0076488
                     21,                 1.3436,                  1.559,                 1.5893,                0.64747,                0.61942,                0.65491,                0.34515,                0.72043,                 2.0104,                0.87981,               0.007525,               0.007525,               0.007525
                     22,                 1.3362,                 1.5338,                 1.5937,                0.64855,                  0.568,                0.62769,                0.35324,                0.72428,                  1.741,                0.87553,              0.0074013,              0.0074013,              0.0074013
                     23,                 1.3239,                 1.4947,                 1.5751,                0.67056,                0.59647,                 0.6445,                 0.3557,                0.71024,                 1.3874,                0.87032,              0.0072775,              0.0072775,              0.0072775
                     24,                 1.3286,                 1.5148,                 1.5872,                  0.711,                0.62003,                0.69344,                0.38909,                 0.7019,                 1.3521,                0.86124,              0.0071538,              0.0071538,              0.0071538
                     25,                 1.3109,                 1.4599,                 1.5604,                0.68663,                0.64065,                0.69052,                0.39718,                0.68013,                 1.6241,                0.84544,                0.00703,                0.00703,                0.00703
                     26,                 1.2927,                 1.4381,                 1.5412,                0.70038,                0.60677,                0.68669,                0.40004,                0.69819,                 1.1338,                0.85112,              0.0069063,              0.0069063,              0.0069063
                     27,                 1.3042,                 1.4478,                 1.5584,                0.71647,                0.63623,                0.71319,                0.41178,                0.70591,                 1.1247,                 0.8605,              0.0067825,              0.0067825,              0.0067825
                     28,                 1.2805,                 1.4143,                 1.5328,                0.72431,                0.63844,                0.71873,                0.41318,                0.67379,                 1.4789,                  0.827,              0.0066587,              0.0066587,              0.0066587
                     29,                 1.2905,                 1.4215,                 1.5351,                0.71949,                0.65243,                0.71496,                0.41306,                 0.6985,                 1.4184,                0.84753,               0.006535,               0.006535,               0.006535
                     30,                 1.2766,                 1.3867,                 1.5252,                0.72407,                0.68778,                0.74735,                0.43851,                 0.6729,                 1.0462,                0.82325,              0.0064112,              0.0064112,              0.0064112
                     31,                 1.2723,                 1.4065,                 1.5261,                 0.7206,                0.67599,                0.73017,                0.42509,                0.66953,                 1.2437,                0.83322,              0.0062875,              0.0062875,              0.0062875
                     32,                 1.2679,                 1.3723,                 1.5199,                0.77036,                0.66421,                0.75412,                0.43573,                0.67036,                 1.1014,                0.83677,              0.0061637,              0.0061637,              0.0061637
                     33,                 1.2669,                 1.3495,                 1.5209,                0.75437,                0.64679,                0.73198,                0.43565,                0.65081,                 0.9933,                0.81134,                0.00604,                0.00604,                0.00604
                     34,                 1.2667,                 1.3336,                 1.5194,                0.75008,                0.71576,                0.77424,                0.44624,                0.66234,                 1.1636,                0.82241,              0.0059163,              0.0059163,              0.0059163
                     35,                 1.2489,                 1.3206,                 1.5068,                0.72188,                0.72018,                0.75755,                0.43549,                0.69522,                0.88047,                0.83891,              0.0057925,              0.0057925,              0.0057925
                     36,                 1.2282,                  1.305,                 1.4877,                0.76158,                0.66127,                0.74646,                0.44109,                0.67692,                0.97953,                0.82759,              0.0056688,              0.0056688,              0.0056688
                     37,                 1.2191,                  1.275,                 1.4829,                0.73882,                 0.6701,                0.74759,                0.44644,                0.66737,                 1.4683,                0.82369,               0.005545,               0.005545,               0.005545
                     38,                   1.22,                 1.2776,                 1.4768,                0.73462,                0.71281,                0.77161,                0.46085,                0.64182,                 1.2548,                0.80116,              0.0054212,              0.0054212,              0.0054212
                     39,                 1.2053,                 1.2816,                 1.4694,                0.73376,                0.71576,                 0.7724,                0.46202,                0.63814,                 1.1113,                0.80008,              0.0052975,              0.0052975,              0.0052975
                     40,                 1.2063,                 1.2511,                 1.4756,                0.76595,                0.66568,                0.76542,                0.45252,                 0.6474,                0.80278,                 0.8069,              0.0051737,              0.0051737,              0.0051737
                     41,                 1.2156,                 1.2432,                 1.4763,                 0.7523,                 0.6863,                0.75585,                0.45971,                0.64627,                 1.0451,                0.79725,                0.00505,                0.00505,                0.00505
                     42,                  1.189,                 1.2102,                 1.4676,                0.72187,                0.68189,                0.73947,                0.44799,                0.65044,                0.92219,                0.81195,              0.0049263,              0.0049263,              0.0049263
                     43,                 1.1934,                 1.2155,                 1.4604,                0.74288,                 0.7025,                0.76262,                0.46022,                 0.6576,                0.97386,                0.81742,              0.0048025,              0.0048025,              0.0048025
                     44,                 1.1826,                 1.1933,                 1.4444,                0.75721,                0.69514,                 0.7682,                0.46143,                0.65385,                0.79691,                0.80982,              0.0046788,              0.0046788,              0.0046788
                     45,                 1.1952,                 1.2099,                 1.4593,                0.78182,                0.66863,                0.76363,                0.46088,                0.65142,                0.82768,                0.80664,               0.004555,               0.004555,               0.004555
                     46,                 1.1748,                 1.1732,                 1.4457,                0.73511,                0.69956,                0.76865,                0.46786,                0.64522,                0.86463,                0.79825,              0.0044313,              0.0044313,              0.0044313
                     47,                 1.1546,                 1.1609,                 1.4344,                  0.742,                0.68778,                0.75639,                0.46367,                 0.6392,                0.91769,                0.79812,              0.0043075,              0.0043075,              0.0043075
                     48,                 1.1646,                 1.1619,                 1.4349,                0.78463,                0.69753,                0.78632,                0.47941,                0.64863,                0.98719,                0.80436,              0.0041837,              0.0041837,              0.0041837
                     49,                 1.1693,                 1.1527,                 1.4401,                0.73254,                0.73049,                0.77902,                0.47351,                0.64434,                0.84047,                0.79667,                0.00406,                0.00406,                0.00406
                     50,                 1.1474,                 1.1358,                  1.425,                 0.7147,                0.74521,                0.78564,                0.48561,                0.61834,                 0.7968,                0.77439,              0.0039362,              0.0039362,              0.0039362
                     51,                 1.1422,                 1.1167,                 1.4252,                0.75038,                0.72164,                0.78757,                0.48423,                0.61898,                0.92785,                0.77947,              0.0038125,              0.0038125,              0.0038125
                     52,                 1.1431,                 1.1297,                 1.4221,                0.73289,                0.73949,                0.79699,                0.49883,                0.60435,                0.92667,                0.77054,              0.0036888,              0.0036888,              0.0036888
                     53,                 1.1422,                 1.1263,                 1.4231,                 0.7552,                0.74521,                0.80754,                0.50338,                0.60734,                0.81276,                0.77183,               0.003565,               0.003565,               0.003565
                     54,                 1.1248,                 1.0933,                  1.414,                0.74274,                0.73559,                0.79828,                0.49504,                0.62435,                0.97288,                0.78041,              0.0034413,              0.0034413,              0.0034413
                     55,                 1.1229,                 1.0837,                 1.4121,                0.74628,                0.77025,                0.81435,                 0.5049,                0.61851,                0.78746,                0.77807,              0.0033175,              0.0033175,              0.0033175
                     56,                 1.1115,                 1.0652,                 1.3985,                0.76467,                0.76583,                0.81473,                0.50315,                0.61694,                0.75496,                 0.7737,              0.0031938,              0.0031938,              0.0031938
                     57,                 1.1135,                  1.053,                 1.4008,                0.74149,                0.76583,                0.81067,                0.51013,                0.60503,                0.79226,                0.76661,                0.00307,                0.00307,                0.00307
                     58,                 1.1069,                 1.0458,                 1.3942,                0.79233,                 0.7187,                0.80559,                0.50989,                0.60919,                0.78184,                 0.7645,              0.0029462,              0.0029462,              0.0029462
                     59,                  1.085,                 1.0416,                 1.3832,                0.79465,                0.72949,                0.80557,                0.50543,                 0.6136,                 0.7974,                0.76778,              0.0028225,              0.0028225,              0.0028225
                     60,                 1.0817,                 1.0362,                 1.3751,                0.81116,                0.70545,                0.80342,                0.50406,                 0.6188,                0.74111,                0.77424,              0.0026987,              0.0026987,              0.0026987
                     61,                 1.0781,                 1.0189,                 1.3738,                 0.7594,                0.74816,                0.81035,                0.50677,                0.61877,                0.72989,                0.77547,               0.002575,               0.002575,               0.002575
                     62,                 1.0756,                  1.015,                 1.3671,                0.78837,                0.73638,                0.81572,                0.50565,                0.62211,                0.70848,                0.77665,              0.0024513,              0.0024513,              0.0024513
                     63,                 1.0714,                 1.0048,                 1.3716,                0.79119,                0.72607,                0.81184,                0.50275,                0.62034,                0.71341,                0.77676,              0.0023275,              0.0023275,              0.0023275
                     64,                 1.0567,                0.97888,                 1.3603,                0.75519,                0.75871,                0.81644,                0.50411,                0.62128,                0.75511,                0.77936,              0.0022038,              0.0022038,              0.0022038
                     65,                   1.07,                  1.001,                  1.372,                0.75572,                0.75632,                0.81132,                0.50654,                 0.6184,                0.74772,                0.77764,                0.00208,                0.00208,                0.00208
                     66,                 1.0536,                0.98464,                 1.3552,                0.78309,                0.73785,                0.80887,                0.50554,                0.62144,                0.73916,                0.77822,              0.0019563,              0.0019563,              0.0019563
                     67,                 1.0475,                0.96843,                 1.3438,                0.78664,                0.73304,                0.80927,                0.50883,                0.62016,                0.75943,                0.77557,              0.0018325,              0.0018325,              0.0018325
                     68,                 1.0418,                0.95074,                  1.345,                0.80302,                0.72018,                0.81062,                0.51166,                0.61719,                0.71863,                0.77542,              0.0017087,              0.0017087,              0.0017087
                     69,                 1.0412,                0.94402,                 1.3476,                 0.8175,                0.72312,                 0.8124,                0.51218,                0.61414,                 0.7151,                 0.7747,               0.001585,               0.001585,               0.001585
                     70,                 1.0303,                0.93582,                 1.3363,                0.80069,                0.72774,                0.81334,                0.51238,                0.61183,                 0.7019,                0.77399,              0.0014612,              0.0014612,              0.0014612
